version,doi,B_COUNTRY,B_COUNTRY_ALPHA,C_COW_NUM,C_COW_ALPHA,A_YEAR,D_INTERVIEW,J_INTDATE,FW_END,FW_START,K_TIME_START,K_TIME_END,K_DURATION,Q_MODE,N_REGION_ISO,N_REGION_WVS,N_TOWN,G_TOWNSIZE,G_TOWNSIZE2,H_SETTLEMENT,H_URBRURAL,I_PSU,O1_LONGITUDE,O2_LATITUDE,S_INTLANGUAGE,LNGE_ISO,E_RESPINT,F_INTPRIVACY,E1_LITERACY,W_WEIGHT,S018,PWGHT,Y001,Y002,Y003,SACSECVAL,SACSECVALB,RESEMAVAL,RESEMAVALB,I_AUTHORITY,I_NATIONALISM,I_DEVOUT,DEFIANCE,I_RELIGIMP,I_RELIGBEL,I_RELIGPRAC,DISBELIEF,I_NORM1,I_NORM2,I_NORM3,RELATIVISM,I_TRUSTARMY,I_TRUSTPOLICE,I_TRUSTCOURTS,SCEPTICISM,I_INDEP,I_IMAGIN,I_NONOBED,AUTONOMY,I_WOMJOB,I_WOMPOL,I_WOMEDU,EQUALITY,I_HOMOLIB,I_ABORTLIB,I_DIVORLIB,CHOICE,I_VOICE1,I_VOICE2,I_VOI2_00,VOICE,SECVALWGT,WEIGHT1A,WEIGHT1B,WEIGHT2A,WEIGHT2B,WEIGHT3A,WEIGHT3B,WEIGHT4A,WEIGHT4B,RESEMAVALBWGT,RESEMAVALWGT,SECVALBWGT,Y001_1,Y001_2,Y001_3,Y001_4,Y001_5
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071051,20200325,202004,202003,18.52,20.04,72,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,1,2,1,1,0.6671114,3.81588,3,2,0,0.263333,0.138333,0.486481,0.34963,0,0,0.33,0.11,0,0,0.5,0.166667,1,0,1,0.666667,0,0,0.33,0.11,0,1,1,0.666667,0,0.66,0.66,0.44,0,0,0.777778,0.259259,0.66,0.5,0.58,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071313,20200325,202004,202003,20.53,22.3,97,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,2,1,1,1,0.6671114,3.81588,3,2,1,0.388056,0.111111,0.417037,0.335741,0,0,0,0,0,0,0.666667,0.222222,1,1,1,1,0.33,0.33,0.33,0.33,1,0,1,0.666667,0.25,0.66,0.66,0.523333,0,0,0.444444,0.148148,0.66,0,0.33,0.33,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071769,20200324,202004,202003,15.5,16.56,65,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,2,1,1,1,0.6671114,3.81588,1,2,-1,0.526667,0.61,0.418009,0.586852,1,0,0.33,0.443333,0.33,1,1,0.776667,1,0,0,0.333333,0,0.66,1,0.553333,0,1,0,0.333333,0.75,0.66,1,0.803333,0,0.444444,0.666667,0.37037,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072077,20200324,202004,202003,12.47,14.31,104,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,1,1,1,1,0.6671114,3.81588,3,2,0,0.373611,0.470556,0.477222,0.497778,0,0,0.33,0.11,0.66,1,0.833333,0.831111,0,0,0,0,0,0.66,1,0.553333,0,0,1,0.333333,0,0.66,0.66,0.44,0,1,0.666667,0.555556,0.66,0.5,0.58,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072339,20200324,202004,202003,10.08,12.38,150,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,2,1,1,1,0.6671114,3.81588,2,2,0,0.415278,0.277222,0.310972,0.372778,1,0,0.33,0.443333,0,0,0.333333,0.111111,1,1,0,0.666667,0.33,0.33,0.66,0.44,0,0,1,0.333333,0.25,0.66,0.66,0.523333,0,0,0.666667,0.222222,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072477,20200324,202004,202003,17.26,19.24,117,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,2,1,1,1,0.6671114,3.81588,-2,2,2,0.261667,0.388333,0.501065,0.461296,0,0,0.33,0.11,0,1,1,0.666667,0,NA,0,0.05,0,0.33,0.33,0.22,1,0,1,0.666667,0,0.33,0.66,0.33,0,1,0.777778,0.592593,0.33,0.5,0.415,0.415,0.915,1,1,1,1,0.66,1,1,1,1,1,1,1,0,1,1,-2
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072571,20200325,202004,202003,22.19,23.44,85,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,2,1,1,1,0.6671114,3.81588,-2,-5,-1,0.166667,0,0.279745,0.335741,0,0,0,0,0,0,0,0,0,1,1,0.666667,0,0,0,0,0,0,0,0,0.25,0.66,0.66,0.523333,0,0,0.444444,0.148148,NA,0.5,NA,0.4475,1,1,1,1,1,1,1,1,0.66,1,0.915,1,1,-2,-2,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072685,20200325,202004,202003,15.21,17.01,100,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,1,2,1,1,0.6671114,3.81588,0,1,2,0.360556,0.332778,0.348704,0.364074,1,0,0,0.333333,0.33,0,0.666667,0.332222,0,1,1,0.666667,0.33,0,0,0.11,1,0,1,0.666667,0.75,0.66,0.33,0.58,0,0,0.444444,0.148148,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072747,20200325,202004,202003,16.59,19.02,123,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,1,1,1,1,0.6671114,3.81588,1,1,2,0.235,0.305,0.3675,0.235,1,0,0.33,0.443333,0,0,0.5,0.166667,0,0,0,0,0.33,0.33,0.33,0.33,1,1,1,1,0.75,0.33,0.33,0.47,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072821,20200324,202004,202003,19.2,21.01,101,2,364010,364010,364001,7,4,3,1,11499,48.29,30.35,3490,fa,1,1,1,1,0.6671114,3.81588,1,1,0,0.069167,0.138333,0.297778,0.428889,0,0.33,0,0.11,0,0,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,1,0.333333,0.25,0.33,0.66,0.413333,0.222222,0.666667,0.444444,0.444444,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
